benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
direct-decrypt,1000,50,8,100,500,1000,23965.797657,0,23965.797657,23.965797657,7816.278759,7801.882092,8347.636806
direct-decrypt,1000,50,9,100,500,1000,24032.926081,0,24032.926081,24.032926081000003,7875.785343,7847.670953,8309.469785
direct-decrypt,1000,50,10,100,500,1000,24075.960685,0,24075.960685,24.075960685,7860.689193,7889.288001,8325.983491
direct-decrypt,2000,10,1,200,200,2000,48091.276055,0,48091.276055,24.0456380275,15762.055441,15712.153217,16617.067397
direct-decrypt,2000,10,2,200,200,2000,48146.078807,0,48146.078807,24.073039403499997,15727.358676,15797.973382,16620.746749
direct-decrypt,2000,10,3,200,200,2000,48089.283375,0,48089.283375,24.0446416875,15726.842426,15747.174977,16615.265972
direct-decrypt,2000,10,4,200,200,2000,47794.797071,0,47794.797071,23.8973985355,15609.603462,15627.643484,16557.550125
direct-decrypt,2000,10,5,200,200,2000,48399.08119,0,48399.08119,24.199540595,15831.391882,15848.670477,16719.018831
direct-decrypt,2000,10,6,200,200,2000,48058.67575,0,48058.67575,24.029337875,15698.249973,15732.605885,16627.819892
direct-decrypt,2000,10,7,200,200,2000,48135.846249,0,48135.846249,24.067923124500002,15716.169458,15791.537111,16628.13968
direct-decrypt,2000,10,8,200,200,2000,48152.086015,0,48152.086015,24.0760430075,15725.263045,15689.454065,16737.368905
direct-decrypt,2000,10,9,200,200,2000,48220.465724,0,48220.465724,24.110232862,15800.061281,15728.238637,16692.165806
direct-decrypt,2000,10,10,200,200,2000,48147.217297,0,48147.217297,24.073608648500002,15829.034749,15763.422105,16554.760443
direct-decrypt,2000,20,1,200,400,2000,48062.787854,0,48062.787854,24.031393927,15745.778302,15712.071094,16604.938458
direct-decrypt,2000,20,2,200,400,2000,48208.152922,0,48208.152922,24.104076461000002,15709.779779,15762.835634,16735.537509
direct-decrypt,2000,20,3,200,400,2000,48050.423289,0,48050.423289,24.0252116445,15745.249587,15707.698625,16597.475077
direct-decrypt,2000,20,4,200,400,2000,48047.196962,0,48047.196962,24.023598481,15690.967016,15759.695301,16596.534645
direct-decrypt,2000,20,5,200,400,2000,48095.95278,0,48095.95278,24.04797639,15667.476223,15844.781678,16583.694879
direct-decrypt,2000,20,6,200,400,2000,48133.955764,0,48133.955764,24.066977882,15745.14704,15845.427999,16543.380725
direct-decrypt,2000,20,7,200,400,2000,48083.496183,0,48083.496183,24.0417480915,15687.779898,15710.456513,16685.259772
direct-decrypt,2000,20,8,200,400,2000,48015.882184,0,48015.882184,24.007941092,15696.906097,15721.513525,16597.462562
direct-decrypt,2000,20,9,200,400,2000,48151.032901,0,48151.032901,24.0755164505,15699.785434,15748.006496,16703.240971
direct-decrypt,2000,20,10,200,400,2000,47986.398472,0,47986.398472,23.993199236,15681.385219,15705.386904,16599.626349
direct-decrypt,2000,50,1,200,1000,2000,48034.986535,0,48034.986535,24.017493267499997,15652.401324,15721.254998,16661.330213
direct-decrypt,2000,50,2,200,1000,2000,47996.970433,0,47996.970433,23.9984852165,15688.168001,15703.975625,16604.826807
direct-decrypt,2000,50,3,200,1000,2000,48066.15082,0,48066.15082,24.033075410000002,15679.24228,15760.412601,16626.495939
direct-decrypt,2000,50,4,200,1000,2000,48005.33917,0,48005.33917,24.002669585,15688.761017,15656.904649,16659.673504
direct-decrypt,2000,50,5,200,1000,2000,47981.220392,0,47981.220392,23.990610196000002,15672.938226,15718.05704,16590.225126
direct-decrypt,2000,50,6,200,1000,2000,48073.657619,0,48073.657619,24.036828809499998,15713.406398,15772.404493,16587.846728
direct-decrypt,2000,50,7,200,1000,2000,48145.492242,0,48145.492242,24.072746121,15675.934115,15742.325274,16727.232853
direct-decrypt,2000,50,8,200,1000,2000,48141.045893,0,48141.045893,24.070522946500002,15725.853487,15778.957201,16636.235205
direct-decrypt,2000,50,9,200,1000,2000,48070.273981,0,48070.273981,24.0351369905,15709.88007,15744.661534,16615.732377
direct-decrypt,2000,50,10,200,1000,2000,48235.276953,0,48235.276953,24.1176384765,15742.337318,15835.119255,16657.82038
direct-decrypt,4000,10,1,400,400,4000,96571.993744,0,96571.993744,24.142998436000003,31542.319373,31713.431991,33316.24238
direct-decrypt,4000,10,2,400,400,4000,96204.569977,0,96204.569977,24.05114249425,31335.064244,31633.175311,33236.330422
direct-decrypt,4000,10,3,400,400,4000,96024.045895,0,96024.045895,24.00601147375,31477.996764,31359.442796,33186.606335
direct-decrypt,4000,10,4,400,400,4000,96843.317079,0,96843.317079,24.21082926975,31741.150085,31838.977871,33263.189123
direct-decrypt,4000,10,5,400,400,4000,96317.826656,0,96317.826656,24.079456664000002,31607.76453,31522.845914,33187.216212
direct-decrypt,4000,10,6,400,400,4000,96031.926824,0,96031.926824,24.007981706,31497.564653,31305.509007,33228.853164
direct-decrypt,4000,10,7,400,400,4000,96232.685783,0,96232.685783,24.05817144575,31423.946244,31459.612229,33349.12731
direct-decrypt,4000,10,8,400,400,4000,96166.214233,0,96166.214233,24.04155355825,31411.651344,31385.077674,33369.485215
direct-decrypt,4000,10,9,400,400,4000,96409.121182,0,96409.121182,24.1022802955,31613.814144,31505.549845,33289.757193
direct-decrypt,4000,10,10,400,400,4000,96209.053795,0,96209.053795,24.05226344875,31391.177667,31635.272621,33182.603507
direct-decrypt,4000,20,1,400,800,4000,96158.662858,0,96158.662858,24.0396657145,31459.565314,31625.681166,33073.416378
direct-decrypt,4000,20,2,400,800,4000,96248.117291,0,96248.117291,24.06202932275,31376.562626,31575.270799,33296.283866
direct-decrypt,4000,20,3,400,800,4000,96483.820991,0,96483.820991,24.12095524775,31510.222871,31609.822122,33363.775998
