benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
link-decrypt,100,10,4,10,10,10,2479.54503,2272.483862,207.061168,24.795450300000002,808.551952,809.019279,861.546202
link-decrypt,100,10,5,10,10,10,2507.851115,2297.24143,210.609685,25.07851115,820.74194,820.333492,866.431396
link-decrypt,100,10,6,10,10,10,2492.389411,2285.163836,207.225575,24.923894110000003,810.7067,815.303331,866.044473
link-decrypt,100,10,7,10,10,10,2474.977451,2268.213544,206.763907,24.74977451,806.568292,807.150499,860.921422
link-decrypt,100,10,8,10,10,10,2476.63845,2269.122688,207.515762,24.7663845,806.574648,808.027399,861.703435
link-decrypt,100,10,9,10,10,10,2482.899406,2275.460815,207.438591,24.82899406,811.235104,807.353129,863.959345
link-decrypt,100,10,10,10,10,10,2474.367208,2266.501232,207.865976,24.74367208,806.403861,806.608049,861.022649
link-decrypt,100,50,1,10,50,50,3310.164644,2275.353954,1034.81069,33.101646439999996,1013.016642,1014.220564,1282.59067
link-decrypt,100,50,2,10,50,50,3313.315268,2275.604381,1037.710887,33.133152679999995,1014.036431,1014.0124,1284.926119
link-decrypt,100,50,3,10,50,50,3314.045845,2278.841217,1035.204628,33.140458450000004,1015.632306,1011.64596,1286.435412
link-decrypt,100,50,4,10,50,50,3337.054549,2277.083617,1059.970932,33.37054549,1016.528985,1015.50201,1304.675747
link-decrypt,100,50,5,10,50,50,3317.154813,2276.055564,1041.099249,33.17154813,1016.1245,1012.806894,1287.87433
link-decrypt,100,50,6,10,50,50,3328.012506,2288.082595,1039.929911,33.28012506,1022.708393,1016.782781,1288.165423
link-decrypt,100,50,7,10,50,50,3311.998824,2275.401676,1036.597148,33.11998824,1012.225397,1012.820333,1286.605886
link-decrypt,100,50,8,10,50,50,3324.03222,2280.962399,1043.069821,33.2403222,1017.403698,1018.309194,1287.98427
link-decrypt,100,50,9,10,50,50,3317.2295,2278.662853,1038.566647,33.172295,1015.355447,1014.501584,1287.038032
